,target,time,turkId
20191,1,590.753,ID7
20192,1,590.8020000000001,ID7
20193,1,591.290005,ID7
20194,1,592.7920050000001,ID7
20195,1,592.9670000000001,ID7
20196,1,593.185,ID7
20197,1,594.7810049999998,ID7
20203,4,595.9209999999998,ID7
20206,4,596.0130000000001,ID7
20207,4,596.0509999999998,ID7
20208,4,596.0610050000001,ID7
20209,4,596.1469999999998,ID7
20210,4,596.290005,ID7
20211,4,596.8080000000001,ID7
20217,0,598.871005,ID7
20220,0,599.5630000000001,ID7
20223,0,600.8940000000001,ID7
20226,0,600.9159999999998,ID7
20227,0,601.0520000000001,ID7
20233,3,602.5409999999998,ID7
20236,3,602.958005,ID7
20237,3,603.0219999999998,ID7
20238,3,603.256,ID7
20239,3,603.3960050000002,ID7
20240,3,603.727005,ID7
20241,3,603.7570049999998,ID7
20242,3,603.8120000000001,ID7
20243,3,603.9370000000001,ID7
20244,3,604.0850000000003,ID7
20245,3,604.145005,ID7
20246,3,604.4159999999998,ID7
20247,3,605.0660000000001,ID7
20248,3,605.232005,ID7
20249,3,605.7310000000001,ID7
20255,4,606.472005,ID7
20258,4,606.6740000000002,ID7
20259,4,606.7260000000001,ID7
20260,4,606.7590000000001,ID7
20261,4,606.987,ID7
20262,4,607.256,ID7
20263,4,607.2780000000001,ID7
20264,4,607.616005,ID7
20265,4,607.8610000000001,ID7
20266,4,608.0130000000001,ID7
20267,4,608.998,ID7
20268,4,609.159005,ID7
20269,4,609.2590000000001,ID7
20270,4,609.8060050000001,ID7
20276,5,610.9520000000001,ID7
20279,5,611.1250000000001,ID7
20280,5,611.185,ID7
20281,5,611.371005,ID7
20282,5,611.9900000000001,ID7
20283,5,612.001005,ID7
20284,5,612.0630000000001,ID7
20285,5,612.3340000000002,ID7
20286,5,612.722005,ID7
20287,5,612.9890000000001,ID7
20288,5,613.0020049999998,ID7
20289,5,613.2760049999998,ID7
20290,5,613.463005,ID7
20291,5,613.6060000000001,ID7
20292,5,613.6490000000001,ID7
20293,5,614.747,ID7
20294,5,615.354,ID7
20300,1,616.5770000000001,ID7
20303,1,616.8170050000001,ID7
20304,1,617.0670050000001,ID7
20305,1,617.1659999999998,ID7
20306,1,617.7790050000001,ID7
20307,1,618.1270049999998,ID7
20313,3,621.8690000000001,ID7
20316,3,622.065,ID7
20317,3,622.2180000000002,ID7
20318,3,622.5070049999998,ID7
20319,3,623.1050050000001,ID7
20320,3,623.9480000000002,ID7
20321,3,623.9990050000001,ID7
